"Type of points","Typy bodov"
"Type of point","Typ bodov"
"Points added","Pridané body"
"Points used","Použité body"
"Valid until","Platné do"
"Order: %1","Objednávka: %1"
"Referral order state: %1","Stav referenčnej objednávky: %1"
"Order state: %1","Stav objednávky: %1"
"Customer email","Email zákazníka"
"Accumulated points","Nazbierané body"
Accumulated Points,"Nazbierané body"
"Spent points","Minuté body"
"Admin Gift","Darček od administrátora"
"Store input %1","Body od administrátora %1"
"Parent email","Rodičovský email"
"Referred email","Odporučený email"
"Referred Name","Meno odporučeného"
"Status","Stav"
"Has ordered","Objednal(a)"
"Waiting for order","Čakanie na objednávku"
"Name","Meno"
"Rule details","Detaily pravidla"
"Rule Name","Názov pravidla"
"To Date","K dátumu"
"Type of rule","Typ pravidla"
"Cart amount","Suma košíka"
"Product sku","SKU produktu"
"Rule condition","Podmienka pravidla"
"Operator","Operator"
"Between","Medzi"
"Test value","Testovacia hodnota"
"From","Od"
"To","Do"
"Points to be earned","Body na získanie"
"Inactive","Neaktívny"
"Active","Aktívny"
"Automatic use of points","Automatické použitie bodov"
"Use maximum amount of point while in shopping cart.","V nákupnom košíku použiť maximálne množstvo bodov"
"Referral order state : %1","Stav odporučenej objednávky : %1"
"Order state : %1","Stav objednávky: %1"
"new","nová"
"processing","Prebieha spracovanie"
"complete","Uzavretá"
"Points per validated review","Body za schválenú recenziu"
"Points the customer get while sending a valid review.","Body, ktoré zákazník dostane za schválenú recenziu"
"Review points","Body za recenziu"
"User location","Mesto používateľa"
"User post code","PSČ používateľa"
"User region","Región používateľa"
"User country","Krajina"
"Cart Attributes","Vlastnosti košíka"
"Action Type","Typ akcie"
"Don't process points","Nespracovávať body"
"Add / remove points","Pridať / odstrániť body"
"Points validity duration","Dĺžka platnosti bodov"
"Points Validity Duration","Dĺžka platnosti bodov"
"Points validity duration in days (use 0 for unlimited).","Dĺžka platnosti bodov v dňoch (0 pre neobmedzenú platnosť)"
"Maximum points collected per order","Maximálny počet bodov získaných za objednávku"
"Maximum points to be collected per order (use 0 for unlimited).","Maximálny počet bodov, ktoré je možné získať za objednávku (0 pre neobmedzený)"
"Maximum points used per order","Maximálny počet bodov použiteľných v rámci objednávky"
"Maximum points to be used per order (use 0 for unlimited).","Maximálny počet bodov použiteľných v rámci objednávky (0 pre neobmedzený)."
"You tried to use %1 loyalty points, but you can use a maximum of %2 points per shopping cart.","Chceli ste použiť %1 vernostných bodov, ale môžete použiť len %2 na jeden nákupný košík"
"Registration/Referral points","Body za registráciu / odporučenie"
"Points gathered / unit of money spent","Získané body / minuté peniaze"
"Points to obtain 1 unit of money","Počet bodov na získanie jednotky peňazí"
"Permanent Link","Trvalý odkaz"
"Share the following link with your friends: <br /><strong>%1</strong>","S Vašimi priateľmi zdieľajte nasledujúci odkaz: <br /><strong>%1</strong>"
Share the following link with your friends: %1,"S Vašimi priateľmi zdieľajte nasledujúci odkaz: %1"
"Share referring link","Zdieľať odkaz na odporúčanie"
"Great deals here!","Skvelé akcie!"
"Visit this for great deals!","Navštívte nás a vyberte si z našej ponuky!"
"Show referral permanent link","Ukázať trvalý odkaz na odporúčanie"
"Show Referral Permanent Link","Ukázať trvalý odkaz na odporúčanie"
"This will allow customers to share permanent their permanent link to refer friends.","Toto umožní zákazníkom zdieľať trvalý odkaz na odporúčanie priateľom."
"Share with addthis","Zdieľať pomocou Addthis"
"Share With addthis","Zdieľať pomocou Addthis"
"Allow customers to share permanent link using addthis. Visit addthis.com to create an account.","Umožniť zákazníkom zdieľať trvalý odkaz pomocou Addthis. Navštívte addthis.com pre založenie účtu."
"addthis account name","Názov účtu Addthis"
"addthis Account Name","Názov účtu Addthis"
"Sharing title (may not be used)","Názov zdieľania (nepovinné)"
"Sharing text (may not be used)","Text zdieľania (nepovinné)"
"For any first valid order placed by referred friend, you earn: <strong>%1 points</strong>","Za prvú platnú objednávku od odporučeného priateľa získate: <strong>%1 bodov</strong>"
"For any first valid order placed by referred friend, your friend gets: <strong>%1 extra points</strong>","Za prvú platnú objednávku od odporučeného priateľa dostane Váš priateľ <strong>%1 bodov navyše</strong>"
"Attribute restriction","Obmedzenie vlastnosti"
"Only process points when reward_points attribute is filled (reward_points attribute needs to be created and must containt integer).","Spracovávať body iba ak je vyplnená vlastnosť reward_points (vlastnosť reward_points musí byť vytvorená a musí obsahovať celé číslo)."
"Include tax in reward point discounts (only when customer tax applied before discount in customer tax tab).","Do bodových zliav zahrnúť DPH (iba ak je DPH aplikovaná pred zľavou v záložke Daň)."
"Include Tax","Zahrnúť DPH"
Include Tax On Discounts,"Zahrnúť DPH"
"Include shipping","Zahrnúť poštovné"
"Include shipping price in discount (only for magento 1.4.x or greater).","Do zľavy zahrnúť poštovné (iba pre Magento 1.4 a vyššie)"
"Math method applied to point calculation. (For exact point value, round up method might be used when necessary.)","Matematická metóda použitá na výpočet bodov. (Pre presnú hodnotu bodov môže byť niekedy potrebné použiť zaokrúhľovanie.)"
"Process currency rate","Spracovať menové kurzy"
"Use currency exchange rate while calculating points & discount (default magento base currency is used).","Použiť výmenný kurz pri výpočte bodov a zliav (je použitá predvolená Magento základná mena)."
"Use slider","Použiť bežec"
"Use Slider","Použiť bežec"
"Use slider to specify points.","Použiť bežec pre určenie bodov, ktoré sa majú použiť."
"Slide to specify the amount of points to be used.","Posuňte a určite, koľko bodov sa má použiť."
"%1 credit points","%1 kreditných bodov"
"Minimum points balance to apply","Minimálna suma bodov, ktorú je možné použiť"
"The minimum amount of points a customer must have to be able to use at checkout (use 0 for no-limit).","Minimálny počet bodov, ktoré musí zákazník mať, aby ich mohol použiť v nákupnom košíku (0 pre žiaden limit)."
"You must have at least %1 point(s) to apply points.","Aby ste mohli použiť body, musíte mať aspoň %1 bodov."
"You haven't invited any friend.","Nepozvali ste žiadneho priateľa."
"Validity status field","Pole stavu overenia"
"Only for magento 1.4.x or greater. Order status database field used (modify this only if you know what you are doing).","Len pre Magento 1.4.x alebo vyšší. Pole stav objednávky v databáze (zmeňte to, len ak viete, čo robíte)."
"Valid statuses","Overené stavy"
"Order status database field used when checking points validity (modify this only if you know what you are doing).","Databázové pole pre stav objednávky, použité pri overovaní platnosti bodov (zmeňte to, len ak viete, čo robíte)."
"Points Availability Delay","Odloženie dostupnosti bodov"
"Delaying the points availability (use 0 for no-delay).","Pozdržanie dostupnosti bodov (0 pre žiadne zdržanie)"
"Design and Graphics","Dizajn a grafika"
"Setup graphic design of the module","Nastaviť grafický dizajn modulu"
"Small inline image","Malý vložený obrázok"
"Big inline image","Veľký vložený obrázok"
"Show small image","Ukázať malý obrázok"
"Show small inline image on product views.","Pri náhľade produktu ukázať malý vložený obrázok."
"Show big image","Ukázať veľký obrázok"
"Show big image on shopping cart area.","V nákupnom košíku ukázať veľký obrázok."
"Email notification","Emailové upozornenie"
"Email sent before points expiring","Odoslať email pred termínom vypršania platnosti bodov"
"In days.","Počet dní."
"Number of days before points expiring","Počet dní pred dátumom vypršania platnosti"
"Email Sender notification","Upozornenie odosielaťela emailu"
"Add/Remove points","Pridať / odstrániť body"
"Points Balance","Stav bodov"
"You also have %1 expired points.","Máte tiež %1 bodov, ktorých platnosť vypršala."
"Turbo Mode","Turbo mód"
"Note that guest orders do not allow referral points to be collected.","Objednávky bez prihlásenia na účet neumožňujú zbieranie bodov za odporučenie."
"Unable guest orders","Nepovoliť objednávky bez prihlásenia"
"Unable guest orders when customer orders from referral url/email.","Nepovoliť objednávky bez prihlásenia, ak zákazník objednáva z emailu, ktorý bol odporučený."
"Turbo Mode allow performance increases within cart process and customer account dashboard.","Turbo Mode umožňuje zvýšiť výkon v rámci košíka a zákazníckeho účtu."
"Step multiplier","Násobiteľ kroku"
"Step Multiplier","Násobiteľ kroku"
"Multiplier for the step value. e.g. if the multiplier is 10 and step value 20, the steps will be: 20, 200, 2000, etc. Default value is 1.","Násobiteľ kroku hodnoty. napr. v prípade, že je násobiteľ 10 a hodnota kroku 20, budú kroky: 20, 200, 2000, atď. Predvolená hodnota je 1."
"Show onepage checkout summary","Ukázať v jednostranovom checkoute"
"Show summary of point usage within onepage checkout review (compatible with magento 1.4.x or greater).","Zobraziť prehľad použitia bodov v jednostranovom checkoute (kompatibilný s Magento 1.4.x alebo vyšším)."
"Review your <a href='%1'>shopping cart</a> to apply or modify points usage.","Skontrolujte si <a href='%1'>nákupný košík</ a> a potvrďte alebo zmeňte využitie bodov."
"* Points are gathered only for registered clients.","* Body sa zbierajú iba pre registrovaných klientov."
"Points cannot be redeemed within multiple shipping orders.","Body nemožno použiť pre viacero adries doručenia."
"Wrong email address (%1).","Nesprávna emailová adresa (%1)."
"Friend name is required for email: %1 on line %2.","Vyžaduje sa emailová adresa priateľa: %1 na riadku %2."
"Email %1 has been already submitted.","Emailová adresa %1 už bola zaregistrovaná."
"Email %1 was successfully invited.","Email %1 bol úspešne pozvaný."
"There was a problem with the invitation email %1.","Vyskytol sa problém s pozvánku na emailovú adresu %1."
"%1 points used","%1 použitých bodov"
"Birthday points","Narodeninové body"
"Allocation date","Dátum získania"
"Points Balance:","Počet bodov:"
"Send notification email","Poslať notifikačný email"
"Update Reward Points","Upravit počet vernostných bodov"
"- not relevant -","- nevzťahuje sa -"
"Points related to order #%1 (%2)","Body za objednávku #%1 (%2)"
"Points type","Typ bodov"
"Relation","Vzťah"
"Until","Do"
"Stores","Obchody"
"Referred customer","Odporučený zákazník"
"Notify clients with emails.","Upozorňovať zákazníkov emailom."
"Math method","Matematická metóda"
"Percent usage per order","Percentuálne použitie v objednávke"
"Exclude Tax","Vyňať DPH"
Exclude Tax When Gathering Points,"Vyňať DPH"
"Show money point equivalence","Ukázať peňažný ekvivalent"
"Always recalculate","Vždy prepočítavať"
"Always recalculate referral","Vždy prepočítavať odporučené"
"Referral points or ratio","Body za odporučenie alebo pomer"
"Calculation type (referral points)","Typ kalkulácie (body za odporučenie)"
"Calculation Type (Referral Points)","Typ kalkulácie (body za odporučenie)"
"Referral child points or ratio","Body alebo pomer pre odporuč. priateľa"
"Referral Child Points Or Ratio","Body alebo pomer pre odporuč. priateľa"
"Calculation type (child points)","Spôsob kalkulácie (body pre odporuč. priat.)"
"Referral min. order","Minimálna objednávka odporuč. priateľa"
"Referral Min. Order","Minimálna objednávka odporuč. priateľa"
"Referral Redirection","Presmerovanie odporučeného"
"Share and collect points","Zdieľajte a zbierajte body"
"Like this site and collect %1 point(s)","Kliknite na 'Páči sa mi' a získajte %1 bodov."
"Like this product and collect %1 point(s)","Označte, že sa Vám páči tento produkt a získajte %1 bodov."
"Log into %1 in order to collect extra points when sharing this site with your favorite social network.","Prihláste sa na %1 a zbierajte vernostné body za zdieľanie týchto stránok na sociálnych sieťach."
"%1 points = %2.","%1 bodov = %2."
"your account","Váš účet"
"For any first valid order placed by referred friend, you earn: <strong>%1 points</strong>","Za prvú platnú objednávku uskutočnenú Vašim priateľom, Vy získate: <strong>%1 bodov</strong>"
"For any first valid order placed by referred friend, your friend gets: <strong>%1 extra points</strong>","Za prvú platnú objednávku uskutočnenú Vašim priateľom, Váš priateľ získa: <strong>%1 bodov navyše</strong>"
"For any first valid order placed by referred friend, you earn: <strong>%1 points x cart summary</strong>","Za prvú platnú objednávku uskutočnenú Vašim priateľom, Vy získate: <strong>%1 bodov x suma nákupného košíka</strong>"
"For any first valid order placed by referred friend, you friend gets: <strong>%1 points x cart summary</strong>","Za prvú platnú objednávku uskutočnenú Vašim priateľom, Váš priateľ získa: <strong>%1 bodov x suma nákupného košíka</strong>"
"Minimum order for referral program to be processed is: <strong>%1</strong>","Minimálna výška objednávky, aby boli body uplatnené: <strong>%1</strong>"
"Send","Odoslať"
"Google Plus this site and collect %1 point(s)","Dajte nám +1 na Google Plus a získajte %1 bodov"
"Tweet this site and collect %1 point(s)","Pošlite tweet o tejto stránke a získajte %1 bod"
